StudentID,Age,Gender,Year,StudyHours,AssignmentsAvg,HomeworkCompletionRate,AttendanceRate,ParticipationScore,MidtermScore,ProjectScore,FinalExamScore,SES,ParentalEducationLevel,StudyGroupHours,LibraryUsage,ExtraCreditScore,FinalGrade,Passed
2000,22,1,4,11.21,31.9,36.37,72.06,4.62,33.1,32.76,31.6,3.42,2,3.31,7.07,3.12,21.98,0
2001,19,0,3,11.3,31.27,30.86,65.79,3.19,32.42,30.0,32.94,3.51,2,2.85,5.97,2.82,24.35,0
2002,23,1,2,13.6,37.23,43.57,70.07,4.36,38.86,41.46,38.12,6.07,3,4.13,8.38,3.83,38.14,0
2003,22,1,2,14.14,39.02,32.73,63.16,2.92,41.48,39.59,39.22,5.94,3,3.56,6.79,3.62,40.28,0
2004,20,1,2,12.68,35.69,35.91,71.26,4.0,35.92,37.48,35.11,5.34,3,3.87,7.57,3.58,37.82,0
2005,22,0,3,16.7,49.99,55.04,81.92,6.06,48.64,51.86,48.73,5.5,3,5.43,11.86,5.12,43.1,0
2006,22,0,4,13.63,42.77,48.13,85.08,6.87,37.76,39.84,42.56,5.27,3,5.13,11.89,4.32,40.44,0
2007,18,1,4,16.98,45.32,46.81,78.64,6.01,44.08,49.47,46.43,5.31,3,5.01,10.39,4.67,45.4,0
2008,20,1,2,19.07,55.09,61.83,89.89,8.09,52.74,55.55,55.67,4.88,3,6.44,14.78,5.76,52.7,0
2009,25,0,4,15.4,44.43,45.55,73.52,4.82,40.55,44.78,44.44,6.08,3,4.4,9.62,4.21,48.27,0
2010,24,0,3,8.39,22.2,21.35,56.88,1.31,26.25,27.45,26.73,3.55,2,1.61,2.6,2.07,29.19,0
2011,21,0,2,9.81,24.81,27.59,66.54,3.46,28.81,26.78,24.86,5.02,3,2.7,6.13,2.46,31.4,0
2012,20,1,3,11.78,34.2,27.54,60.52,2.64,32.57,32.47,34.48,4.74,2,2.84,5.39,3.24,25.31,0
2013,24,0,3,18.44,52.59,47.01,67.36,2.86,55.0,53.8,55.76,6.09,3,4.65,8.88,4.99,51.37,0
2014,19,1,5,19.88,58.78,62.85,82.34,6.54,54.78,57.24,56.36,6.83,3,6.3,12.81,5.88,53.13,0
2015,19,0,2,24.39,72.76,69.27,78.44,5.25,73.11,69.09,72.46,5.82,3,6.68,12.69,6.69,70.67,1
2016,25,1,4,14.67,40.94,44.36,73.08,4.91,43.35,42.95,39.68,6.85,3,4.54,9.66,4.42,40.99,0
2017,23,0,3,9.77,28.48,30.73,64.41,3.23,29.35,31.12,28.12,5.99,3,3.17,5.77,2.92,18.74,0
2018,18,1,3,19.67,57.82,57.35,74.89,4.71,57.42,56.28,59.81,6.44,3,5.62,10.76,5.56,47.65,0
2019,21,1,2,18.37,54.89,57.15,83.12,6.58,51.35,52.92,53.14,5.39,3,5.6,12.05,5.5,50.63,0
2020,21,1,2,21.21,64.78,73.0,94.47,8.53,58.58,61.91,62.56,6.48,3,7.25,16.69,6.36,65.36,1
2021,18,0,3,17.39,48.15,50.47,78.93,5.6,46.75,45.54,47.69,4.86,2,5.1,10.83,4.68,46.52,0
2022,18,1,3,25.88,73.76,75.2,83.79,5.97,74.64,74.78,75.27,5.06,3,6.95,14.04,6.96,69.94,1
2023,18,1,2,13.63,38.64,46.13,80.12,5.67,37.42,38.8,38.2,6.07,3,4.49,10.12,3.98,46.92,0
2024,25,0,5,13.73,41.16,43.17,74.05,4.8,36.27,43.28,39.79,3.22,2,3.98,7.85,3.68,39.25,0
2025,21,1,4,17.57,49.85,53.98,78.64,5.93,47.87,50.91,48.46,7.34,4,5.28,11.14,5.06,54.02,0
2026,19,0,2,12.86,33.34,30.98,62.61,2.32,34.06,33.83,33.77,3.42,2,2.81,4.8,3.1,32.42,0
2027,24,0,3,12.09,,40.37,78.07,6.44,31.34,35.59,33.69,6.58,3,4.52,9.85,3.71,38.74,0
2028,17,1,4,16.87,52.35,58.92,82.67,6.16,49.59,53.02,51.55,5.48,3,5.55,12.34,5.22,47.26,0
2029,20,0,3,15.93,42.42,43.56,71.1,4.43,43.2,43.84,42.97,4.72,2,4.18,8.75,4.18,42.37,0
2030,20,0,2,10.2,26.82,30.55,72.09,4.52,28.55,30.37,30.85,4.67,2,3.34,6.95,2.86,29.26,0
2031,18,1,3,19.16,53.01,55.92,77.43,5.15,55.0,54.49,52.72,5.01,3,5.04,10.8,5.22,59.87,0
2032,25,0,4,12.31,36.97,39.02,73.58,4.51,37.49,35.93,35.63,5.77,3,3.94,8.6,3.63,40.84,0
2033,17,0,2,11.1,31.72,33.77,71.45,4.27,29.34,34.58,33.37,4.84,2,3.75,7.49,3.34,32.48,0
2034,23,0,1,12.62,36.46,34.03,68.4,3.68,34.41,37.29,35.87,5.15,3,3.56,7.56,3.21,32.58,0
2035,23,1,5,12.29,35.11,34.24,72.48,4.48,28.87,33.35,30.72,3.45,2,3.35,7.74,3.0,25.84,0
2036,22,1,4,21.07,65.06,70.21,90.86,8.03,59.77,62.27,62.11,4.38,2,7.07,14.19,6.11,59.15,0
2037,25,0,3,17.61,50.23,50.52,72.65,4.1,51.01,49.74,52.07,6.62,3,5.01,9.69,4.91,39.17,0
2038,20,0,5,11.59,33.06,35.29,72.97,4.43,29.07,31.4,31.26,3.6,2,3.35,6.97,3.18,34.16,0
2039,25,1,3,14.72,41.71,38.07,66.66,3.27,41.31,40.68,43.15,5.69,3,4.04,7.86,3.86,41.27,0
2040,24,1,2,13.32,,35.54,74.58,4.79,37.78,37.95,36.32,4.45,2,4.21,8.46,3.68,43.54,0
2041,18,1,1,,43.83,43.6,74.01,4.63,44.61,45.32,44.29,4.33,2,4.35,8.93,4.21,47.53,0
2042,25,0,4,17.31,50.79,57.68,83.51,6.68,46.26,52.93,50.97,4.3,2,5.56,11.79,5.01,53.51,0
2043,18,1,1,21.4,59.46,67.83,85.28,7.04,61.56,63.72,60.82,4.47,2,6.51,13.33,5.85,44.36,0
2044,23,1,4,10.03,27.49,29.71,70.78,4.41,29.02,30.21,30.07,3.99,2,3.02,7.07,2.66,30.42,0
2045,20,1,2,23.66,65.71,66.19,78.66,5.45,66.15,66.61,67.1,4.67,3,6.41,12.27,6.36,62.59,1
2046,17,0,5,11.36,34.92,36.19,76.85,5.42,33.0,34.92,34.31,4.03,2,3.97,9.25,3.57,34.78,0
2047,25,0,3,16.14,48.72,50.03,80.55,5.66,46.0,48.5,48.25,4.6,2,5.05,10.99,4.45,50.88,0
2048,20,0,2,16.49,44.76,45.83,75.67,4.36,45.65,43.29,46.2,5.73,3,4.89,9.28,4.63,46.11,0
2049,17,0,3,17.95,50.87,48.72,74.72,4.54,52.07,52.43,50.64,5.3,3,5.42,9.94,4.95,50.0,0
2050,20,0,2,13.33,34.98,36.01,64.41,2.56,40.67,40.95,40.16,5.08,2,3.34,6.23,3.81,33.25,0
2051,19,0,3,22.95,65.27,63.14,73.18,4.28,67.91,66.24,69.03,4.69,2,5.76,10.31,6.24,62.49,1
2052,21,1,3,12.92,36.69,39.43,75.29,5.54,37.23,36.14,34.93,5.43,3,4.23,9.85,3.95,35.55,0
2053,24,0,5,14.26,39.65,40.33,68.53,3.3,43.73,42.19,45.13,5.03,2,3.71,7.11,3.6,39.92,0
2054,17,0,1,10.09,29.16,31.25,70.03,4.52,29.8,28.49,29.5,5.68,3,3.52,6.91,2.72,19.3,0
2055,22,0,4,10.47,27.5,22.86,61.88,2.36,29.31,30.97,29.55,6.53,3,2.87,5.54,2.9,26.75,0
2056,22,1,3,14.05,41.89,46.36,78.11,6.14,39.14,41.46,37.76,4.81,2,4.42,9.92,3.98,36.0,0
2057,23,1,3,15.28,44.28,46.05,75.65,5.04,44.15,45.12,44.34,3.97,2,4.33,9.3,4.29,46.71,0
2058,22,1,2,16.43,45.55,44.33,70.66,3.89,45.41,47.3,43.88,3.63,2,4.13,8.22,4.27,39.39,0
2059,18,0,1,16.94,49.09,50.91,71.72,4.21,50.31,49.12,49.02,4.82,2,4.68,9.0,4.84,48.48,0
2060,20,1,5,12.12,36.39,42.93,82.96,6.2,30.63,36.04,31.77,5.92,3,4.77,10.13,3.68,31.67,0
2061,24,0,4,19.62,55.36,55.87,74.77,4.39,55.62,56.82,56.01,3.13,2,4.92,9.02,5.15,59.49,0
2062,17,1,1,23.36,65.83,64.42,78.39,5.1,68.46,66.14,68.05,4.51,2,6.36,12.33,6.39,66.45,1
2063,22,0,3,18.66,53.2,57.02,83.24,6.26,50.66,53.98,51.34,5.4,3,5.91,12.26,5.4,51.73,0
2064,18,0,4,20.77,63.89,67.16,83.36,6.47,59.17,61.45,60.74,4.3,2,6.14,12.68,5.83,59.69,0
2065,23,1,2,13.19,38.31,41.41,74.98,5.23,35.86,37.65,38.83,1.57,1,3.55,8.38,3.55,41.67,0
2066,24,0,1,14.2,38.63,35.52,63.58,2.87,43.03,43.99,43.9,4.33,2,3.64,6.68,3.74,43.08,0
2067,17,1,2,14.88,41.37,40.18,70.89,4.11,40.83,40.74,40.87,4.37,2,3.76,7.49,3.72,47.61,0
2068,18,1,3,12.74,38.22,48.61,86.17,7.59,32.45,40.65,36.79,7.38,4,5.4,13.37,4.12,36.11,0
2069,24,0,1,11.82,33.48,41.92,79.91,5.93,35.39,35.35,31.05,4.5,2,4.15,10.14,3.47,33.38,0
2070,19,1,1,16.23,46.66,48.62,73.17,4.4,46.68,44.58,46.61,3.94,2,4.29,9.25,4.3,46.45,0
2071,21,1,4,20.58,54.09,57.74,77.44,5.19,59.72,54.84,56.53,4.97,2,5.59,10.83,5.25,60.17,1
2072,20,1,5,9.62,29.42,23.92,62.58,2.55,29.84,30.15,28.37,2.06,1,2.11,4.65,2.21,28.55,0
2073,19,1,4,16.28,42.54,41.87,67.92,2.92,42.89,44.18,45.59,4.42,2,4.01,7.36,3.88,41.6,0
2074,19,0,5,22.3,62.96,66.36,86.78,6.45,62.78,63.53,64.39,5.4,3,6.64,14.54,6.35,59.03,0
2075,21,0,1,16.21,50.43,56.62,85.76,7.02,47.19,47.9,46.48,5.94,3,5.46,12.7,5.13,49.29,0
2076,19,0,4,14.06,37.77,35.95,64.5,2.77,37.02,40.0,39.82,5.2,3,3.4,6.39,3.71,34.81,0
2077,25,1,2,19.08,51.51,51.07,72.69,4.16,52.83,53.61,53.54,5.6,3,5.36,10.58,5.07,54.55,0
2078,19,0,4,13.67,40.18,41.21,69.2,3.65,39.18,39.13,40.94,1.83,1,3.41,6.71,3.78,36.44,0
2079,19,1,2,15.35,45.91,49.39,78.65,5.72,43.52,48.28,43.97,3.94,2,4.68,10.39,4.3,40.31,0
2080,25,1,3,15.75,42.55,40.38,68.98,3.84,43.99,46.26,48.72,5.39,3,4.37,8.58,4.46,48.83,0
2081,19,0,3,15.15,,41.42,68.78,3.67,42.56,44.04,42.32,6.81,3,4.33,7.66,4.06,40.8,0
2082,17,1,1,19.42,52.79,53.46,73.65,4.33,58.03,54.75,57.39,5.7,3,5.44,10.58,5.31,44.56,0
2083,21,1,2,18.76,49.78,55.52,78.37,5.45,51.25,51.23,50.68,3.15,2,5.15,10.8,4.88,52.05,0
2084,21,0,4,19.84,56.48,54.38,73.0,4.07,58.04,56.22,58.38,4.59,2,5.32,10.05,5.09,53.28,0
2085,22,1,3,27.26,74.37,79.24,83.0,6.25,76.85,76.87,77.34,5.3,3,7.43,14.54,7.53,77.61,1
2086,20,1,3,7.09,23.93,28.66,75.58,5.21,20.09,23.43,19.04,2.98,2,3.01,6.79,1.95,27.51,0
2087,20,0,4,12.18,,34.39,71.21,3.98,34.78,34.99,35.36,6.53,3,3.78,8.16,3.54,27.93,0
2088,22,0,3,19.83,55.96,54.82,75.01,4.86,56.1,52.99,54.49,5.66,3,5.23,10.51,5.26,51.41,0
2089,18,0,4,13.56,38.38,38.51,74.3,4.49,36.35,41.17,38.02,4.78,3,4.01,8.61,3.73,31.69,0
2090,17,0,2,20.35,58.0,61.31,86.13,6.28,56.17,60.76,59.3,6.01,3,6.22,13.16,6.07,64.52,1
2091,20,1,3,14.8,44.59,46.24,77.16,5.27,44.45,43.49,42.47,5.14,3,4.71,10.03,4.15,49.71,0
2092,18,0,3,12.06,29.88,30.67,67.36,3.71,32.68,30.92,35.49,4.86,2,3.35,6.81,3.06,27.93,0
2093,21,1,3,19.59,54.95,56.72,74.67,4.58,55.27,54.89,54.79,3.62,2,5.03,10.27,5.05,50.77,0
2094,23,1,4,16.24,45.95,47.9,76.24,4.8,47.21,47.64,46.92,5.13,3,4.49,9.48,4.48,38.69,0
2095,23,0,4,20.03,58.3,64.16,83.21,6.24,56.35,57.79,56.34,4.37,2,6.11,12.36,5.58,61.11,1
2096,24,1,4,13.71,32.27,33.66,65.04,3.23,38.87,38.45,39.6,5.62,3,3.92,6.08,3.83,44.24,0
2097,20,0,2,22.55,60.69,60.17,75.73,4.76,63.88,58.79,65.13,5.05,3,5.63,11.54,5.9,58.56,0
2098,21,1,2,22.62,62.84,65.75,81.04,6.12,65.21,64.43,60.92,6.19,3,6.12,12.76,6.14,61.63,1
2099,25,1,3,11.32,31.4,34.55,74.37,4.97,32.64,31.38,33.19,3.56,2,3.55,8.22,3.22,34.64,0
2100,24,1,3,11.36,30.4,33.19,68.37,3.54,31.16,31.46,32.64,3.95,2,3.02,6.72,2.73,21.28,0
2101,21,0,2,15.09,40.79,36.63,63.69,2.96,44.23,43.83,42.89,5.84,3,3.89,6.99,3.75,46.37,0
2102,23,1,4,20.27,54.25,53.51,65.98,3.07,60.08,56.01,59.06,6.14,3,4.82,8.41,4.91,65.3,1
2103,18,0,4,13.96,37.8,43.04,,5.34,35.01,37.47,37.0,4.74,2,4.15,9.55,3.92,35.34,0
2104,21,0,2,15.85,44.72,47.17,73.61,4.62,47.78,47.2,44.75,6.36,3,4.84,9.42,4.39,44.73,0
2105,17,0,1,10.62,36.09,34.44,74.4,5.13,32.25,34.81,32.55,6.04,3,4.04,8.89,3.58,32.91,0
2106,20,1,3,19.63,59.15,64.7,90.16,7.72,56.53,56.56,56.42,4.79,3,6.33,14.66,5.9,52.07,0
2107,25,0,3,20.61,55.65,55.88,77.55,4.98,57.0,57.35,58.72,6.55,3,5.86,11.43,5.63,63.97,1
2108,25,1,3,16.56,44.32,44.87,73.11,4.39,47.8,44.17,45.81,6.66,3,4.71,9.83,4.43,39.97,0
2109,23,1,2,13.53,36.45,33.18,63.03,2.36,39.57,36.09,38.46,3.96,2,3.1,5.68,3.5,47.47,0
2110,22,0,4,19.29,55.24,58.94,85.58,6.74,53.6,56.01,56.05,5.44,3,5.87,12.82,5.55,50.49,0
2111,19,0,2,21.2,55.75,54.44,69.99,3.42,62.54,58.4,59.42,4.58,3,5.19,8.57,5.59,60.45,1
2112,18,1,3,15.09,41.87,43.53,71.54,4.42,41.85,42.34,43.59,4.97,3,4.31,8.96,4.25,42.54,0
2113,24,1,3,18.72,51.58,55.09,71.31,4.52,,54.02,53.72,5.47,3,4.87,9.46,5.02,46.23,0
2114,24,1,3,15.72,43.93,40.03,66.05,3.47,44.53,44.08,42.76,4.88,2,4.02,7.59,4.1,43.28,0
2115,21,1,5,15.08,41.94,45.38,72.82,4.42,45.28,44.74,43.55,5.05,3,4.43,8.54,4.07,42.49,0
2116,19,1,2,16.87,45.62,43.15,71.29,4.2,48.4,47.01,47.11,6.48,3,4.9,9.69,4.51,57.71,0
2117,22,1,4,12.25,32.76,30.22,67.59,3.76,33.53,31.57,31.95,8.11,4,3.77,7.21,3.58,34.61,0
2118,19,1,4,11.56,28.18,26.51,62.64,2.29,31.67,31.34,33.93,5.35,3,2.9,5.63,2.75,37.56,0
2119,20,0,5,7.67,22.06,23.54,67.77,3.94,22.98,23.59,22.46,6.9,3,2.81,5.9,2.53,13.23,0
2120,17,1,1,8.98,19.85,18.8,55.67,1.04,24.85,25.45,21.19,2.61,1,1.36,1.9,1.95,29.35,0
2121,23,1,2,19.52,58.03,63.41,83.54,6.36,58.89,56.81,56.36,4.42,2,5.91,12.89,5.81,49.77,0
2122,17,0,1,19.44,57.89,65.25,86.03,7.17,57.08,56.55,55.48,7.8,4,6.42,13.97,5.98,50.95,0
2123,23,0,2,14.47,36.98,32.52,57.58,1.4,39.83,38.05,38.18,3.49,2,2.75,4.28,3.41,39.78,0
2124,17,1,1,14.01,40.32,39.92,71.49,3.91,39.68,41.62,41.12,4.7,2,3.71,7.6,3.89,43.75,0
2125,17,1,4,21.52,62.33,70.11,84.56,6.77,59.45,61.98,61.19,5.2,3,6.43,13.72,6.2,63.83,1
2126,17,0,2,,56.31,63.02,80.13,5.48,58.42,60.5,59.54,5.42,3,5.82,11.8,5.68,55.73,0
2127,20,1,3,20.19,57.74,57.62,79.39,5.43,58.63,56.84,60.61,7.88,4,6.13,12.63,5.68,67.75,1
2128,18,1,4,9.52,26.84,29.64,66.77,3.02,27.08,28.77,29.64,4.41,2,2.63,5.9,2.66,22.23,0
2129,22,0,2,18.48,55.23,57.79,83.77,6.68,51.89,52.46,52.18,5.14,3,5.65,12.7,5.33,46.34,0
2130,23,1,4,11.45,31.9,36.76,73.89,5.21,29.55,31.15,32.43,5.39,3,4.02,9.0,3.24,34.85,0
2131,20,0,2,7.4,23.33,22.41,65.81,3.61,22.15,22.78,22.21,2.57,1,2.19,4.13,1.94,19.85,0
2132,19,1,3,12.85,34.65,33.77,66.32,3.33,37.97,36.58,38.03,5.79,3,3.77,6.79,3.5,40.79,0
2133,24,0,4,16.27,43.15,39.98,66.42,3.46,45.86,44.68,45.56,6.01,3,4.33,8.53,4.39,38.23,0
2134,20,1,3,10.61,32.99,32.11,70.47,4.23,29.76,28.52,26.31,3.54,2,3.18,6.78,2.93,28.21,0
2135,22,0,5,15.2,43.24,45.46,77.0,5.35,41.65,44.39,41.7,5.64,3,4.62,9.99,4.38,46.64,0
2136,24,0,1,21.05,60.86,64.99,77.14,5.32,61.45,62.9,61.01,5.73,3,5.97,12.07,6.0,58.91,0
2137,19,1,4,13.55,41.62,41.01,74.47,4.8,39.5,40.39,41.12,5.78,3,4.44,9.32,4.17,41.53,0
2138,22,1,2,14.69,38.54,37.4,61.96,2.56,41.91,40.78,44.46,5.09,3,3.64,6.41,3.84,55.5,0
2139,21,1,2,17.08,47.82,46.76,70.56,4.06,49.37,47.18,49.9,3.41,2,4.25,7.81,4.27,41.85,0
2140,24,1,3,21.2,63.26,66.71,81.44,5.79,63.69,62.55,62.62,5.26,3,6.38,12.77,6.3,67.96,1
2141,17,0,1,10.86,30.45,31.37,66.8,3.27,35.21,32.45,32.28,6.31,3,3.35,6.91,3.09,36.07,0
2142,24,1,2,17.25,45.75,46.08,70.95,4.13,46.35,46.99,47.2,5.44,3,4.26,8.54,4.48,39.06,0
2143,17,1,1,14.17,40.39,46.26,82.73,6.63,38.84,40.84,38.33,6.7,3,5.29,12.21,4.52,39.42,0
2144,24,1,3,13.32,34.8,36.84,67.22,2.71,36.31,37.53,36.97,1.34,1,3.18,5.67,2.92,33.7,0
2145,23,0,2,9.56,23.2,21.12,61.61,2.49,27.08,27.92,25.34,4.65,2,2.16,3.96,2.41,23.18,0
2146,25,1,1,13.4,37.3,37.11,63.74,2.49,40.46,40.67,38.54,4.54,2,3.45,6.28,3.55,41.4,0
2147,17,1,5,18.08,51.31,55.05,78.3,5.01,49.9,51.26,50.64,3.03,1,4.94,10.53,4.68,47.65,0
2148,19,1,4,15.79,42.22,37.91,66.09,2.88,42.48,42.15,44.91,5.82,3,3.78,7.4,4.1,42.35,0
2149,24,0,1,18.36,48.19,49.61,70.41,3.66,53.97,53.37,53.0,3.98,2,4.52,8.32,4.88,50.32,0
2150,17,0,3,12.75,32.99,31.99,59.72,1.79,39.97,38.42,40.27,5.13,2,3.05,4.42,3.22,43.55,0
2151,20,0,3,15.24,43.82,47.32,79.26,5.4,42.55,42.66,40.68,3.87,2,4.49,9.99,4.18,40.41,0
2152,21,1,5,12.51,32.73,31.44,61.32,2.29,38.87,36.23,36.18,3.31,2,2.56,5.3,2.88,30.96,0
2153,22,1,2,10.69,33.76,38.41,76.9,5.3,33.05,35.45,33.7,3.8,2,3.57,9.21,3.41,35.0,0
2154,18,1,2,15.83,45.31,43.47,69.62,4.06,44.88,45.89,46.38,3.39,2,4.14,8.16,4.28,45.35,0
2155,18,0,1,16.49,41.46,45.72,76.33,5.22,43.73,46.11,42.05,3.51,2,4.3,8.53,4.07,48.38,0
2156,17,1,3,19.06,51.84,48.96,70.1,3.6,52.87,52.38,54.31,4.18,2,4.77,8.65,4.78,56.62,0
2157,25,0,1,17.65,49.6,49.36,71.22,3.92,51.52,48.4,49.9,5.01,2,4.73,8.73,5.01,40.81,0
2158,20,1,2,13.65,42.43,38.82,73.38,4.25,41.53,39.69,40.43,1.97,1,3.85,7.77,3.6,34.76,0
2159,17,0,2,9.59,28.2,28.92,72.32,5.18,24.81,26.51,25.37,6.01,3,3.38,7.95,2.86,25.2,0
2160,18,1,5,12.26,33.93,35.35,69.35,4.01,34.89,33.81,34.29,5.04,3,3.59,7.5,3.69,38.37,0
2161,21,0,3,17.06,45.07,41.84,62.3,2.11,51.39,48.14,52.29,3.76,2,3.72,6.96,4.07,54.32,0
2162,18,0,1,15.59,43.68,48.48,78.44,5.63,42.76,47.37,43.15,8.15,4,5.32,12.22,4.76,49.27,0
2163,23,0,1,14.67,39.22,39.19,63.41,3.14,44.23,41.74,42.46,5.21,3,3.73,6.31,3.97,49.0,0
2164,21,1,2,21.39,60.31,60.21,78.91,5.14,60.09,59.46,61.0,4.1,2,5.85,11.33,5.75,55.78,0
2165,17,1,2,20.58,57.14,60.1,80.25,5.62,56.29,56.72,58.04,4.08,2,5.8,11.41,5.37,55.79,0
2166,20,1,5,18.65,52.8,57.26,82.34,6.2,52.14,53.49,51.18,6.67,3,6.01,13.0,5.42,48.17,0
2167,22,1,3,15.15,45.34,48.19,72.92,4.38,45.91,46.58,45.58,6.62,3,4.62,9.48,4.57,51.31,0
2168,22,1,4,10.79,31.0,33.06,71.14,4.47,30.76,34.12,29.83,3.02,2,3.28,6.76,3.11,29.7,0
2169,21,1,2,20.61,60.25,58.12,77.5,4.98,58.56,59.23,56.93,6.54,3,5.7,10.95,5.86,54.93,0
2170,24,1,2,17.48,48.1,46.97,69.22,3.63,51.83,50.97,50.49,6.62,3,4.89,8.68,5.1,39.93,0
2171,19,1,3,22.94,66.24,69.46,84.13,6.34,64.73,65.21,64.23,4.45,2,6.64,13.36,6.28,60.64,1
2172,24,1,3,14.14,41.05,41.46,72.34,4.56,41.63,43.59,42.97,3.95,2,4.03,8.42,4.06,44.66,0
2173,24,0,2,22.68,63.21,65.72,79.99,4.95,63.74,62.91,64.94,2.31,1,5.55,10.93,5.61,61.1,1
2174,20,1,3,17.34,48.4,48.48,74.12,4.38,48.01,50.17,49.04,4.91,3,4.67,9.39,4.94,38.35,0
2175,24,1,3,15.02,44.08,47.88,78.26,5.7,43.74,43.64,42.13,6.63,3,5.14,10.8,4.35,33.75,0
2176,17,0,2,,47.26,45.49,72.91,4.36,48.33,49.37,49.09,5.16,2,4.63,9.55,4.67,54.38,0
2177,19,1,3,14.88,41.45,42.97,70.61,3.68,46.56,45.4,46.23,5.75,3,4.45,8.09,4.26,47.12,0
2178,17,1,3,19.15,56.21,61.88,84.61,7.25,50.71,54.19,54.35,6.88,4,6.15,13.72,5.43,53.25,0
2179,19,0,1,13.5,38.67,40.52,77.15,5.35,37.58,40.85,38.07,3.85,2,3.94,9.16,3.77,43.08,0
2180,22,0,3,17.97,49.44,51.75,71.77,3.85,53.63,53.67,51.44,3.86,2,4.57,9.59,4.75,48.58,0
2181,25,0,2,15.57,38.18,32.14,55.98,1.08,49.12,46.53,44.64,2.51,1,2.98,3.64,3.41,41.12,0
2182,22,0,4,15.53,43.8,43.78,73.45,4.51,42.36,42.85,41.83,4.56,2,4.19,8.59,4.0,51.02,0
2183,20,0,5,9.09,26.68,23.47,64.47,3.22,26.98,26.08,26.22,4.93,3,2.38,5.52,2.24,27.77,0
2184,24,1,3,19.06,52.13,56.78,77.03,5.2,52.06,55.79,57.07,6.85,3,5.48,10.76,5.2,54.61,0
2185,23,1,3,17.41,48.6,47.73,68.82,3.79,50.35,50.34,50.07,4.73,2,4.52,9.34,4.7,44.48,0
2186,20,1,3,10.73,30.58,30.97,69.69,4.27,29.0,30.67,28.06,6.07,3,3.52,7.19,3.06,26.26,0
2187,17,1,4,19.49,58.2,63.2,83.48,6.54,54.96,54.76,56.79,4.97,3,6.02,13.01,5.43,51.32,0
2188,17,0,2,21.54,61.05,61.8,78.61,5.19,,63.93,63.64,7.16,4,6.07,12.6,6.23,63.01,1
2189,17,1,1,15.75,48.86,50.36,79.09,5.98,47.67,48.12,48.32,6.85,3,5.59,11.95,4.85,54.86,0
2190,23,0,4,15.43,45.7,45.46,76.27,4.97,43.96,46.49,43.48,6.48,3,4.64,10.23,4.7,46.92,0
2191,17,1,4,15.81,41.54,39.69,67.98,3.54,44.48,42.79,45.09,7.57,4,4.4,7.89,4.03,44.33,0
2192,21,0,3,15.37,43.24,41.78,74.44,4.86,41.02,41.43,42.11,6.16,3,4.67,8.9,4.23,40.31,0
2193,25,0,3,12.95,37.9,34.97,65.17,3.35,38.04,37.76,38.68,4.92,3,3.55,6.34,3.39,30.92,0
2194,24,1,2,8.13,24.46,24.51,66.83,3.31,23.84,24.29,24.98,4.69,2,2.6,6.17,2.4,13.51,0
2195,23,1,2,15.05,38.91,37.9,63.92,2.88,41.93,43.61,40.28,6.96,3,4.0,6.81,3.95,37.43,0
2196,18,1,3,17.0,49.02,55.3,82.67,6.55,46.36,50.54,49.86,4.89,2,5.7,12.19,4.87,47.45,0
2197,18,1,2,12.79,33.46,39.6,74.28,4.68,34.07,34.13,37.35,4.51,2,3.97,7.92,3.6,34.01,0
2198,23,1,5,11.81,35.61,42.97,78.53,5.81,32.05,33.76,34.52,4.22,2,3.94,8.68,3.38,35.68,0
2199,19,1,4,8.97,24.79,36.07,76.36,5.53,24.28,28.5,24.98,4.03,2,3.51,8.11,3.02,29.01,0
2200,19,1,2,13.16,33.99,31.77,62.42,2.32,39.08,39.77,38.75,6.82,3,3.32,5.75,3.52,39.44,0
2201,24,0,3,10.86,29.26,32.34,71.24,4.44,30.02,32.25,31.73,5.6,3,3.58,7.38,3.16,32.86,0
2202,20,0,3,18.5,46.76,51.94,73.74,4.2,50.38,49.88,51.3,3.1,2,4.45,9.35,4.45,53.38,0
2203,17,1,5,12.05,33.37,35.87,72.5,4.31,34.78,36.37,37.06,3.92,2,3.57,7.61,3.41,34.78,0
2204,21,0,2,17.02,49.94,51.82,79.84,5.88,50.46,50.75,50.08,6.22,3,5.33,11.07,5.03,45.16,0
2205,18,0,2,12.02,38.45,43.41,86.66,7.03,32.95,36.26,35.53,5.88,3,4.58,11.81,4.07,30.14,0
2206,24,0,2,17.24,49.49,53.67,83.2,6.53,49.18,49.63,48.57,8.11,4,6.08,12.82,5.22,61.04,1
2207,25,1,3,9.03,27.45,24.45,67.37,3.35,26.15,29.56,27.71,1.71,1,2.4,4.39,2.28,24.84,0
2208,20,0,4,16.7,48.05,49.64,76.23,5.37,46.36,49.59,47.22,5.23,3,4.79,10.48,4.65,50.86,0
2209,23,0,2,12.67,30.65,30.36,57.6,1.69,35.56,35.66,35.17,4.97,2,2.65,4.53,2.89,30.23,0
2210,23,0,2,20.99,61.53,58.48,76.21,4.8,63.83,60.45,65.43,5.54,3,5.98,11.47,5.8,66.12,1
2211,17,0,2,9.45,27.92,30.7,71.12,4.71,26.36,30.93,28.09,4.29,2,3.31,7.38,2.68,25.57,0
2212,20,1,3,12.92,32.18,32.82,67.27,3.23,35.62,37.68,33.19,4.18,2,3.15,6.73,3.11,35.64,0
